Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0247,7/13/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0248,7/14/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0249,7/15/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0250,7/16/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0251,7/17/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0252,7/18/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0253,7/19/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0254,7/20/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0255,7/21/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,ERRBKP0976
TK0256,7/22/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0257,7/23/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0258,11/11/2020,SP_GL,Unable to create a new GL Account,Unable to create a new GL Account,Verified user permissions Verified the GL Account creation rules,GL Account successfully created.,
TK0259,11/13/2020,SP_GL,Error when deleting GL Account,Error when deleting GL Account,Verified user permissions Checked the GL Account settings,GL Account successfully deleted.,
TK0260,11/14/2020,SP_GL,Error when changing GL Account,Error when changing GL Account,Verified user permissions Checked the GL Account settings,GL Account successfully changed.,
TK0261,11/15/2020,SP_GL,Error when viewing GL Account,Error when viewing GL Account,Verified user permissions Checked the GL Account settings,GL Account successfully viewed.,
TK0262,11/16/2020,SP_GL,Error when creating GL Journal,Error when creating GL Journal,Verified user permissions Checked the GL Account settings,GL Journal successfully created.,
TK0263,11/18/2020,SP_GL,Error when deleting GL Journal,Error when deleting GL Journal,Verified user permissions Checked the GL Account settings,GL Journal successfully deleted.,
TK0264,11/19/2020,SP_GL,Error when changing GL Journal,Error when changing GL Journal,Verified user permissions Checked the GL Account settings,GL Journal successfully changed.,
TK0265,11/20/2020,SP_GL,Error when viewing GL Journal,Error when viewing GL Journal,Verified user permissions Checked the GL Account settings,GL Journal successfully viewed.,
TK0266,11/21/2020,SP_GL,Error when creating GL Document,Error when creating GL Document,Verified user permissions Checked the GL Account settings,GL Document successfully created.,
TK0267,11/23/2020,SP_GL,Error when deleting GL Document,Error when deleting GL Document,Verified user permissions Checked the GL Account settings,GL Document successfully deleted.,
TK0268,11/24/2020,SP_GL,Error when changing GL Document,Error when changing GL Document,Verified user permissions Checked the GL Account settings,GL Document successfully changed.,
TK0269,11/25/2020,SP_GL,Error when viewing GL Document,Error when viewing GL Document,Verified user permissions Checked the GL Account settings,GL Document successfully viewed.,
TK0270,11/26/2020,SP_GL,Error when creating GL Reconciliation,Error when creating GL Reconciliation,Verified user permissions Checked the GL Account settings,GL Reconciliation successfully created.,
TK0271,11/28/2020,SP_GL,Error when deleting GL Reconciliation,Error when deleting GL Reconciliation,Verified user permissions Checked the GL Account settings,GL Reconciliation successfully deleted.,
TK0272,11/29/2020,SP_GL,Error when changing GL Reconciliation,Error when changing GL Reconciliation,Verified user permissions Checked the GL Account settings,GL Reconciliation successfully changed.,
TK0273,11/30/2020,SP_GL,Error when viewing GL Reconciliation,Error when viewing GL Reconciliation,Verified user permissions Checked the GL Account settings,GL Reconciliation successfully viewed.,ERRGLD0165
TK0274,12/1/2020,SP_GL,Error when creating GL Account Group,Error when creating GL Account Group,Verified user permissions Checked the GL Account settings,GL Account Group successfully created.,
TK0275,12/3/2020,SP_GL,Error when deleting GL Account Group,Error when deleting GL Account Group,Verified user permissions Checked the GL Account settings,GL Account Group successfully deleted.,
TK0276,12/4/2020,SP_GL,Error when changing GL Account Group,Error when changing GL Account Group,Verified user permissions Checked the GL Account settings,GL Account Group successfully changed.,
TK0277,12/5/2020,SP_GL,Error when viewing GL Account Group,Error when viewing GL Account Group,Verified user permissions Checked the GL Account settings,GL Account Group successfully viewed.,
TK0278,12/6/2020,SP_GL,Error when creating GL Cost Center,Error when creating GL Cost Center,Verified user permissions Checked the GL Account settings,GL Cost Center successfully created.,
TK0279,12/8/2020,SP_GL,Error when deleting GL Cost Center,Error when deleting GL Cost Center,Verified user permissions Checked the GL Account settings,GL Cost Center successfully deleted.,
TK0280,12/9/2020,SP_GL,Error when changing GL Cost Center,Error when changing GL Cost Center,Verified user permissions Checked the GL Account settings,GL Cost Center successfully changed.,
TK0281,12/10/2020,SP_GL,Error when viewing GL Cost Center,Error when viewing GL Cost Center,Verified user permissions Checked the GL Account settings,GL Cost Center successfully viewed.,
TK0282,12/11/2020,SP_GL,Error when creating GL Document Type,Error when creating GL Document Type,Verified user permissions Checked the GL Account settings,GL Document Type successfully created.,
TK0283,12/13/2020,SP_GL,Error when deleting GL Document Type,Error when deleting GL Document Type,Verified user permissions Checked the GL Account settings,GL Document Type successfully deleted.,
TK0284,12/14/2020,SP_GL,Error when changing GL Document Type,Error when changing GL Document Type,Verified user permissions Checked the GL Account settings,GL Document Type successfully changed.,
TK0285,12/15/2020,SP_GL,Error when viewing GL Document Type,Error when viewing GL Document Type,Verified user permissions Checked the GL Account settings,GL Document Type successfully viewed.,
TK0286,12/16/2020,SP_GL,Error when creating GL Account Hierarchy,Error when creating GL Account Hierarchy,Verified user permissions Checked the GL Account settings,GL Account Hierarchy successfully created.,
TK0287,12/18/2020,SP_GL,Error when deleting GL Account Hierarchy,Error when deleting GL Account Hierarchy,Verified user permissions Checked the GL Account settings,GL Account Hierarchy successfully deleted.,
TK0288,12/19/2020,SP_GL,Error when changing GL Account Hierarchy,Error when changing GL Account Hierarchy,Verified user permissions Checked the GL Account settings,GL Account Hierarchy successfully changed.,
TK0289,12/20/2020,SP_GL,Error when viewing GL Account Hierarchy,Error when viewing GL Account Hierarchy,Verified user permissions Checked the GL Account settings,GL Account Hierarchy successfully viewed.,
TK0290,12/21/2020,SP_GL,Error when creating GL Transaction Type,Error when creating GL Transaction Type,Verified user permissions Checked the GL Account settings,GL Transaction Type successfully created.,
TK0291,12/23/2020,SP_GL,Error when deleting GL Transaction Type,Error when deleting GL Transaction Type,Verified user permissions Checked the GL Account settings,GL Transaction Type successfully deleted.,
TK0292,12/24/2020,SP_GL,Error when changing GL Transaction Type,Error when changing GL Transaction Type,Verified user permissions Checked the GL Account settings,GL Transaction Type successfully changed.,
TK0293,12/25/2020,SP_GL,Error when viewing GL Transaction Type,Error when viewing GL Transaction Type,Verified user permissions Checked the GL Account settings,GL Transaction Type successfully viewed.,
TK0294,12/26/2020,SP_GL,Error when creating GL Account Assignment,Error when creating GL Account Assignment,Verified user permissions Checked the GL Account settings,GL Account Assignment successfully created.,
TK0295,12/28/2020,SP_GL,Error when deleting GL Account Assignment,Error when deleting GL Account Assignment,Verified user permissions Checked the GL Account settings,GL Account Assignment successfully deleted.,
TK0296,12/29/2020,SP_GL,Error when changing GL Account Assignment,Error when changing GL Account Assignment,Verified user permissions Checked the GL Account settings,GL Account Assignment successfully changed.,
TK0297,12/30/2020,SP_GL,Error when viewing GL Account Assignment,Error when viewing GL Account Assignment,Verified user permissions Checked the GL Account settings,GL Account Assignment successfully viewed.,
TK0298,12/31/2020,SP_GL,Error when creating GL Activity Type,Error when creating GL Activity Type,Verified user permissions Checked the GL Account settings,GL Activity Type successfully created.,
TK0299,1/2/2021,SP_GL,Error when deleting GL Activity Type,Error when deleting GL Activity Type,Verified user permissions Checked the GL Account settings,GL Activity Type successfully deleted.,
TK0300,1/3/2021,SP_GL,Error when changing GL Activity Type,Error when changing GL Activity Type,Verified user permissions Checked the GL Account settings,GL Activity Type successfully changed.,
TK0301,1/4/2021,SP_GL,Error when viewing GL Activity Type,Error when viewing GL Activity Type,Verified user permissions Checked the GL Account settings,GL Activity Type successfully viewed.,
TK0302,1/5/2021,SP_GL,Error when creating GL Currency,Error when creating GL Currency,Verified user permissions Checked the GL Account settings,GL Currency successfully created.,
TK0303,1/7/2021,SP_GL,Error when deleting GL Currency,Error when deleting GL Currency,Verified user permissions Checked the GL Account settings,GL Currency successfully deleted.,
TK0304,1/8/2021,SP_GL,Error when changing GL Currency,Error when changing GL Currency,Verified user permissions Checked the GL Account settings,GL Currency successfully changed.,
TK0305,1/9/2021,SP_GL,Error when viewing GL Currency,Error when viewing GL Currency,Verified user permissions Checked the GL Account settings,GL Currency successfully viewed.,
TK0306,1/10/2021,SP_GL,Error when creating GL Document Item,Error when creating GL Document Item,Verified user permissions Checked the GL Account settings,GL Document Item successfully created.,
TK0307,1/12/2021,SP_GL,Error when deleting GL Document Item,Error when deleting GL Document Item,Verified user permissions Checked the GL Account settings,GL Document Item successfully deleted.,
TK0308,1/13/2021,SP_GL,Error when changing GL Document Item,Error when changing GL Document Item,Verified user permissions Checked the GL Account settings,GL Document Item successfully changed.,
TK0309,1/14/2021,SP_GL,Error when viewing GL Document Item,Error when viewing GL Document Item,Verified user permissions Checked the GL Account settings,GL Document Item successfully viewed.,ERRGLD0134
TK0310,1/15/2021,SP_GL,Error when creating GL Total Type,Error when creating GL Total Type,Verified user permissions Checked the GL Account settings,GL Total Type successfully created.,
TK0311,1/17/2021,SP_GL,Error when deleting GL Total Type,Error when deleting GL Total Type,Verified user permissions Checked the GL Account settings,GL Total Type successfully deleted.,
TK0312,1/18/2021,SP_GL,Error when changing GL Total Type,Error when changing GL Total Type,Verified user permissions Checked the GL Account settings,GL Total Type successfully changed.,
TK0313,1/19/2021,SP_GL,Error when viewing GL Total Type,Error when viewing GL Total Type,Verified user permissions Checked the GL Account settings,GL Total Type successfully viewed.,
TK0314,1/20/2021,SP_GL,Error when creating GL Company Code,Error when creating GL Company Code,Verified user permissions Checked the GL Account settings,GL Company Code successfully created.,
TK0315,1/22/2021,SP_GL,Error when deleting GL Company Code,Error when deleting GL Company Code,Verified user permissions Checked the GL Account settings,GL Company Code successfully deleted.,
TK0316,1/23/2021,SP_GL,Error when changing GL Company Code,Error when changing GL Company Code,Verified user permissions Checked the GL Account settings,GL Company Code successfully changed.,
TK0317,1/24/2021,SP_GL,Error when viewing GL Company Code,Error when viewing GL Company Code,Verified user permissions Checked the GL Account settings,GL Company Code successfully viewed.,
TK0318,1/25/2021,SP_GL,Error when creating GL Account Alternative,Error when creating GL Account Alternative,Verified user permissions Checked the GL Account settings,GL Account Alternative successfully created.,
TK0319,1/27/2021,SP_GL,Error when deleting GL Account Alternative,Error when deleting GL Account Alternative,Verified user permissions Checked the GL Account settings,GL Account Alternative successfully deleted.,
TK0320,1/28/2021,SP_GL,Error when changing GL Account Alternative,Error when changing GL Account Alternative,Verified user permissions Checked the GL Account settings,GL Account Alternative successfully changed.,
TK0321,1/29/2021,SP_GL,Error when viewing GL Account Alternative,Error when viewing GL Account Alternative,Verified user permissions Checked the GL Account settings,GL Account Alternative successfully viewed.,
TK0322,1/30/2021,SP_GL,Error when creating GL Document Change,Error when creating GL Document Change,Verified user permissions Checked the GL Account settings,GL Document Change successfully created.,
TK0323,2/1/2021,SP_GL,Error when deleting GL Document Change,Error when deleting GL Document Change,Verified user permissions Checked the GL Account settings,GL Document Change successfully deleted.,
TK0324,2/2/2021,SP_GL,Error when changing GL Document Change,Error when changing GL Document Change,Verified user permissions Checked the GL Account settings,GL Document Change successfully changed.,
TK0325,2/3/2021,SP_GL,Error when viewing GL Document Change,Error when viewing GL Document Change,Verified user permissions Checked the GL Account settings,GL Document Change successfully viewed.,
TK0326,2/4/2021,SP_GL,Error when creating GL Fiscal Year,Error when creating GL Fiscal Year,Verified user permissions Checked the GL Account settings,GL Fiscal Year successfully created.,
TK0327,2/6/2021,SP_GL,Error when deleting GL Fiscal Year,Error when deleting GL Fiscal Year,Verified user permissions Checked the GL Account settings,GL Fiscal Year successfully deleted.,ERRGLD0432
TK0328,2/7/2021,SP_GL,Error when changing GL Fiscal Year,Error when changing GL Fiscal Year,Verified user permissions Checked the GL Account settings,GL Fiscal Year successfully changed.,
TK0329,2/8/2021,SP_GL,Error when viewing GL Fiscal Year,Error when viewing GL Fiscal Year,Verified user permissions Checked the GL Account settings,GL Fiscal Year successfully viewed.,
TK0330,2/9/2021,SP_GL,Error when creating GL Assignment Number,Error when creating GL Assignment Number,Verified user permissions Checked the GL Account settings,GL Assignment Number successfully created.,
TK0331,2/11/2021,SP_GL,Error when deleting GL Assignment Number,Error when deleting GL Assignment Number,Verified user permissions Checked the GL Account settings,GL Assignment Number successfully deleted.,
TK0332,2/12/2021,SP_GL,Error when changing GL Assignment Number,Error when changing GL Assignment Number,Verified user permissions Checked the GL Account settings,GL Assignment Number successfully changed.,
TK0333,2/13/2021,SP_GL,Error when viewing GL Assignment Number,Error when viewing GL Assignment Number,Verified user permissions Checked the GL Account settings,GL Assignment Number successfully viewed.,
TK0334,2/14/2021,SP_GL,Error when creating GL Functional Area,Error when creating GL Functional Area,Verified user permissions Checked the GL Account settings,GL Functional Area successfully created.,
TK0335,2/16/2021,SP_GL,Error when deleting GL Functional Area,Error when deleting GL Functional Area,Verified user permissions Checked the GL Account settings,GL Functional Area successfully deleted.,
TK0336,2/17/2021,SP_GL,Error when changing GL Functional Area,Error when changing GL Functional Area,Verified user permissions Checked the GL Account settings,GL Functional Area successfully changed.,
TK0337,1/1/2021,SP_VND,Error when creating vendor invoice,Error when creating vendor invoice,Checked system settings Checked user access Reconfigured system settings,Issue resolved after resetting the System,
TK0338,1/1/2021,SP_VND,Cannot post payment to vendor,Cannot post payment to vendor,Checked invoice details Checked payment details Deleted invoice and recreated,Delete Old Invoice and Re-Create the Invoice,
TK0339,2/1/2021,SP_VND,Vendor invoice not showing in system,Vendor invoice not showing in system,Checked user access Checked invoice details Reconfigured user access,Configure the User Access to view Vendor Invoice page,
TK0340,2/1/2021,SP_VND,Error when creating vendor payment,Error when creating vendor payment,Checked user access Checked payment details Reconfigured user access,Configure the User Access to create Vendor,
TK0341,3/1/2021,SP_VND,Cannot post payment to vendor,Cannot post payment to vendor,Checked system settings Checked payment details Reconfigured system settings,Reconfigure the System setting to allow user to post payment to Vendor,
TK0342,3/1/2021,SP_VND,Vendor invoice not showing in system,Vendor invoice not showing in system,Checked invoice details Checked user access Reconfigured user access,Configure the User Access to see the Vendor Invoice,
TK0343,4/1/2021,SP_VND,Error when creating vendor invoice,Error when creating vendor invoice,Checked system settings Checked invoice details Deleted invoice and recreated,Delete Old Invoice and Re-Create the Invoice,
TK0344,4/1/2021,SP_VND,Cannot post payment to vendor,Cannot post payment to vendor,Checked user access Checked payment details Reconfigured user access,Configure the User Access to post payment against Vendor,
TK0345,5/1/2021,SP_VND,Vendor invoice not showing in system,Vendor invoice not showing in system,Checked system settings Checked invoice details Reconfigured system settings,Configure the User Access to view Vendor Invoice page,ERRVND0123
TK0346,5/1/2021,SP_VND,Error when creating vendor payment,Error when creating vendor payment,Checked invoice details Checked user access ,Resolved by Reconfiguring user access for Vendor Payment,
TK0347,6/1/2021,SP_VND,Cannot post payment to vendor,Cannot post payment to vendor,Checked system settings Checked payment details Reconfigured system settings,Resolved by Reconfiguring user access for Payment posting,
TK0348,6/1/2021,SP_VND,Vendor invoice not showing in system,Vendor invoice not showing in system,Checked invoice details Checked user access Reconfigured user access,Resolved by Reconfiguring user access for Vendor Invoicing,
TK0349,7/1/2021,SP_VND,Error when creating vendor invoice,Error when creating vendor invoice,Checked system settings Checked user access Reconfigured system settings,Resolved by Reconfiguring user access for Vendor Invoice Creation,
TK0350,8/1/2021,SP_VND,Vendor invoice not showing in system,Vendor invoice not showing in system,Checked user access Checked invoice details Reconfigured user access,Resolved by Reconfiguring user access for Viewing Vendor Invoice ,
TK0351,8/1/2021,SP_VND,Error when creating vendor payment,Error when creating vendor payment,Checked user access Checked payment details Reconfigured user access,Resolved by Reconfiguring user access for Vendor Payment Creation,
TK0352,7/3/2020,SP_INV,Unable to adjust quantities in stock,Unable to adjust quantities in stock,Checked user authorization,Adjusted user authorization to allow changing stock quantities.,
TK0353,7/4/2020,SP_INV,Error when creating PO,Error when creating PO,Checked user authorization,Adjusted user authorization to allow creating PO.,
TK0354,7/5/2020,SP_INV,Unable to view availability of stock,Unable to view availability of stock,Checked user authorization,Adjusted user authorization to allow viewing stock availability.,
TK0355,7/6/2020,SP_INV,Unable to edit purchase order,Unable to edit purchase order,Checked user authorization,Adjusted user authorization to allow editing purchase order.,
TK0356,7/7/2020,SP_INV,Error when entering goods receipt,Error when entering goods receipt,Checked user authorization,Adjusted user authorization to allow entering goods receipt.,
TK0357,7/8/2020,SP_INV,Unable to create billing document,Unable to create billing document,Checked user authorization,Adjusted user authorization to allow creating billing documents.,
TK0358,7/9/2020,SP_INV,Unable to change material price,Unable to change material price,Checked user authorization,Adjusted user authorization to allow changing material prices.,
TK0359,7/10/2020,SP_INV,Unable to post goods issue,Unable to post goods issue,Checked user authorization,Adjusted user authorization to allow posting goods issue.,
TK0360,7/11/2020,SP_INV,Unable to create sales order,Unable to create sales order,Checked user authorization,Adjusted user authorization to allow creating sales orders.,
TK0361,7/12/2020,SP_INV,Unable to view invoice list,Unable to view invoice list,Checked user authorization,Adjusted user authorization to allow viewing invoice list.,
TK0362,7/13/2020,SP_INV,Unable to display cost of material,Unable to display cost of material,Checked user authorization,Adjusted user authorization to allow displaying cost of material.,
TK0363,7/14/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,ERRINV0345
TK0364,7/15/2020,SP_INV,Unable to display inventory status,Unable to display inventory status,Checked user authorization,Adjusted user authorization to allow displaying inventory status.,
TK0365,7/16/2020,SP_INV,Unable to adjust material availability,Unable to adjust material availability,Checked user authorization,Adjusted user authorization to allow adjusting material availability.,
TK0366,7/17/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
TK0367,7/18/2020,SP_INV,Unable to delete purchase order,Unable to delete purchase order,Checked user authorization,Adjusted user authorization to allow deleting purchase orders.,
TK0368,7/19/2020,SP_INV,Unable to change billing type,Unable to change billing type,Checked user authorization,Adjusted user authorization to allow changing billing type.,
TK0369,7/20/2020,SP_INV,Unable to view open orders,Unable to view open orders,Checked user authorization,Adjusted user authorization to allow viewing open orders.,
TK0370,7/21/2020,SP_INV,Unable to create delivery,Unable to create delivery,Checked user authorization,Adjusted user authorization to allow creating deliveries.,
TK0371,7/22/2020,SP_INV,Unable to update stock quantity,Unable to update stock quantity,Checked user authorization,Adjusted user authorization to allow updating stock quantity.,
TK0372,7/23/2020,SP_INV,Unable to delete sales order,Unable to delete sales order,Checked user authorization,Adjusted user authorization to allow deleting sales orders.,
TK0373,7/24/2020,SP_INV,Unable to view material list,Unable to view material list,Checked user authorization,Adjusted user authorization to allow viewing material list.,
TK0374,7/25/2020,SP_INV,Unable to approve invoices,Unable to approve invoices,Checked user authorization,Adjusted user authorization to allow approving invoices.,
TK0375,7/26/2020,SP_INV,Unable to change item category,Unable to change item category,Checked user authorization,Adjusted user authorization to allow changing item category.,
TK0376,7/27/2020,SP_INV,Unable to adjust delivery date,Unable to adjust delivery date,Checked user authorization,Adjusted user authorization to allow adjusting delivery date.,
TK0377,7/28/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0378,7/29/2020,SP_INV,Unable to delete delivery,Unable to delete delivery,Checked user authorization,Adjusted user authorization to allow deleting delivery.,
TK0379,7/30/2020,SP_INV,Unable to view sales document,Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
TK0380,7/31/2020,SP_INV,Unable to create purchase order,Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
TK0381,8/1/2020,SP_INV,Unable to view purchase order list,Unable to view purchase order list,Checked user authorization,Adjusted user authorization to allow viewing purchase order list.,ERRINV0356
TK0382,8/2/2020,SP_INV,Unable to adjust material stock,Unable to adjust material stock,Checked user authorization,Adjusted user authorization to allow adjusting material stock.,
TK0383,8/3/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0384,8/4/2020,SP_INV,Unable to delete goods issue,Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
TK0385,8/5/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0386,8/6/2020,SP_INV,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0387,8/7/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0388,8/8/2020,SP_INV,Unable to create billing document,Unable to create billing document,Checked user authorization,Adjusted user authorization to allow creating billing documents.,
TK0389,8/9/2020,SP_INV,Unable to view material availability,Unable to view material availability,Checked user authorization,Adjusted user authorization to allow viewing material availability.,
TK0390,8/10/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0391,8/11/2020,SP_INV,Unable to change pricing type,Unable to change pricing type,Checked user authorization,Adjusted user authorization to allow changing pricing type.,
TK0392,8/12/2020,SP_INV,Unable to approve delivery,Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
TK0393,8/13/2020,SP_INV,Unable to view delivery list,Unable to view delivery list,Checked user authorization,Adjusted user authorization to allow viewing delivery list.,
TK0394,8/14/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
TK0395,8/15/2020,SP_INV,Unable to change item category,Unable to change item category,Checked user authorization,Adjusted user authorization to allow changing item category.,
TK0396,8/16/2020,SP_INV,Unable to view inventory status,Unable to view inventory status,Checked user authorization,Adjusted user authorization to allow viewing inventory status.,
TK0397,8/17/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
TK0398,8/18/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0399,8/19/2020,SP_INV,Unable to delete goods receipt,Unable to delete goods receipt,Checked user authorization,Adjusted user authorization to allow deleting goods receipt.,ERRINV0333
TK0400,8/20/2020,SP_INV,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0401,8/21/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0402,8/22/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
TK0403,8/23/2020,SP_INV,Unable to view delivery list,Unable to view delivery list,Checked user authorization,Adjusted user authorization to allow viewing delivery list.,
TK0404,8/24/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
TK0405,8/25/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0406,8/26/2020,SP_INV,Unable to delete billing document,Unable to delete billing document,Checked user authorization,Adjusted user authorization to allow deleting billing documents.,
TK0407,8/27/2020,SP_INV,Unable to view inventory status,Unable to view inventory status,Checked user authorization,Adjusted user authorization to allow viewing inventory status.,
TK0408,8/28/2020,SP_INV,Unable to approve delivery,Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
TK0409,8/29/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0410,8/30/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0411,8/31/2020,SP_INV,Unable to view sales document,Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
TK0412,9/1/2020,SP_INV,Unable to create purchase order,Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
TK0413,9/2/2020,SP_INV,Unable to view open orders,Unable to view open orders,Checked user authorization,Adjusted user authorization to allow viewing open orders.,
TK0414,9/3/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0415,9/4/2020,SP_INV,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0416,9/5/2020,SP_INV,Unable to delete goods issue,Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
TK0417,9/6/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,ERRINV0656
TK0418,9/7/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
TK0419,9/8/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0420,9/9/2020,SP_INV,Unable to approve delivery,Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
TK0421,9/10/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0422,9/11/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0423,9/12/2020,SP_INV,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0424,9/13/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0425,9/14/2020,SP_INV,Unable to delete goods issue,Unable to delete goods issue,Checked user authorization,Adjusted user authorization to allow deleting goods issue.,
TK0426,9/15/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
TK0427,9/16/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0428,9/17/2020,SP_INV,Unable to create purchase order,Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
TK0429,9/18/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0430,9/19/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0431,9/20/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0432,9/21/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0433,9/22/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
TK0434,9/23/2020,SP_INV,Unable to change plant,Unable to change plant,Checked user authorization,Adjusted user authorization to allow changing plant.,
TK0435,9/24/2020,SP_INV,Unable to delete goods receipt,Unable to delete goods receipt,Checked user authorization,Adjusted user authorization to allow deleting goods receipt.,ERRINV0333
TK0436,9/25/2020,SP_INV,Unable to view sales document,Unable to view sales document,Checked user authorization,Adjusted user authorization to allow viewing sales documents.,
TK0437,9/26/2020,SP_INV,Unable to approve delivery,Unable to approve delivery,Checked user authorization,Adjusted user authorization to allow approving delivery.,
TK0438,9/27/2020,SP_INV,Unable to post billing document,Unable to post billing document,Checked user authorization,Adjusted user authorization to allow posting billing document.,
